Entry_Date,Entry_Label,Entry,Amount,Exit,Exit_Label,Exit_Date,High,Low,Duration,Max_Offset,Min_Offset,Max_Date,Min_Date,Drawdown,PnL
2009-07-06,Lex,1.0563,5680,1.0893,PnL,2009-07-06,1.0905,1.0454,1,0,0,2009-07-06,2009-07-06,0.0414,187.3832
2009-07-08,Lex,1.0413,5869,1.0936,PnL,2009-07-13,1.0525,0.9866,4,2,0,2009-07-09,2009-07-08,0.0626,307.0661
2009-08-12,Lex,1.4624,4177,1.5196,PnL,2009-08-12,1.5519,1.4624,1,0,0,2009-08-12,2009-08-12,0.0577,238.9244
2009-09-02,Lex,1.4631,3182,1.4657,PnL,2009-09-02,1.4919,1.4535,1,0,0,2009-09-02,2009-09-02,0.0257,8.2096
2009-09-03,Lex,1.4896,3209,1.4981,PnL,2009-09-03,1.5061,1.4553,1,0,0,2009-09-03,2009-09-03,0.0337,27.3086
2009-09-28,Lex,1.7152,3177,1.7858,PnL,2009-09-28,1.7983,1.7152,1,0,0,2009-09-28,2009-09-28,0.0462,224.1373
2009-10-05,Lex,1.6165,3374,1.6687,PnL,2009-10-05,1.6822,1.6019,1,0,0,2009-10-05,2009-10-05,0.0477,175.9878
2009-10-22,Lex,1.8713,2848,1.9285,PnL,2009-10-22,1.9471,1.8348,1,0,0,2009-10-22,2009-10-22,0.0577,163.0195
2009-10-26,Lex,1.869,2849,1.8031,Exp,2009-11-06,1.9264,1.6059,10,0,6,2009-10-26,2009-11-02,0.1664,-187.8631
2009-11-23,Lex,1.9817,2139,1.9886,PnL,2009-11-23,2.0285,1.9744,1,0,0,2009-11-23,2009-11-23,0.0267,14.6949
2009-11-30,Lex,1.9108,2997,1.9379,PnL,2009-11-30,1.9464,1.8876,1,0,0,2009-11-30,2009-11-30,0.0302,81.1288
2009-12-09,Lex,1.9141,3475,1.9352,PnL,2009-12-09,1.9453,1.8851,1,0,0,2009-12-09,2009-12-09,0.0309,73.1835
2009-12-10,Lex,1.9728,3518,1.9979,PnL,2009-12-11,1.9944,1.9602,2,0,0,2009-12-10,2009-12-10,0.0171,88.3018
2009-12-16,Lex,2.0335,3658,2.0568,PnL,2009-12-22,2.0556,1.9268,5,4,3,2009-12-21,2009-12-18,0.0627,85.4143
2010-01-04,Lex,2.0916,3928,2.1411,PnL,2010-01-04,2.146,2.0905,1,0,0,2010-01-04,2010-01-04,0.0259,194.5146
2010-01-13,Lex,2.177,4018,2.2161,PnL,2010-01-13,2.2331,2.1441,1,0,0,2010-01-13,2010-01-13,0.0399,156.9833
2010-01-19,Lex,2.1545,3919,2.2395,PnL,2010-01-19,2.2529,2.1541,1,0,0,2010-01-19,2010-01-19,0.0439,333.0366
2010-01-25,Lex,1.9613,3137,1.9654,PnL,2010-02-02,1.9732,1.8018,7,2,5,2010-01-26,2010-01-29,0.0869,12.7362
2010-02-08,Lex,1.7703,2785,1.7931,PnL,2010-02-09,1.7995,1.7237,2,0,0,2010-02-08,2010-02-08,0.0421,63.5815
2010-02-24,Lex,1.9378,2723,1.9748,PnL,2010-02-24,1.983,1.9245,1,0,0,2010-02-24,2010-02-24,0.0295,100.8327
2010-02-25,Lex,1.8893,2907,1.9682,PnL,2010-02-25,1.97,1.8736,1,0,0,2010-02-25,2010-02-25,0.0489,229.3914
2010-03-01,Lex,1.9942,2989,2.0317,PnL,2010-03-01,2.0381,1.9936,1,0,0,2010-03-01,2010-03-01,0.0218,111.9679
2010-04-19,Lex,2.4634,4255,2.511,PnL,2010-04-19,2.5199,2.4296,1,0,0,2010-04-19,2010-04-19,0.0358,202.538
2010-04-28,Lex,2.4613,3080,2.4764,PnL,2010-04-28,2.4994,2.414,1,0,0,2010-04-28,2010-04-28,0.0342,46.354
2010-04-29,Lex,2.5262,2904,2.5712,PnL,2010-04-29,2.588,2.5232,1,0,0,2010-04-29,2010-04-29,0.025,130.7671
2010-05-03,Lex,2.478,2624,2.5387,PnL,2010-05-03,2.5567,2.4657,1,0,0,2010-05-03,2010-05-03,0.0356,159.3818
2010-05-05,Lex,2.2956,2507,2.3162,PnL,2010-05-05,2.3737,2.2659,1,0,0,2010-05-05,2010-05-05,0.0454,51.7194
2010-05-06,Lex,2.2862,2152,2.3273,PnL,2010-05-12,2.3242,1.4543,5,0,0,2010-05-06,2010-05-06,0.3743,88.5118
2010-05-17,Lex,2.1373,2189,1.8513,Exp,2010-05-28,2.1931,1.6143,10,2,7,2010-05-18,2010-05-25,0.2639,-626.054
2010-06-02,Lex,1.7895,2492,1.8969,PnL,2010-06-02,1.8991,1.7658,1,0,0,2010-06-02,2010-06-02,0.0702,267.6906
2010-06-07,Lex,1.7346,2625,1.8257,PnL,2010-06-10,1.7839,1.6126,4,3,2,2010-06-09,2010-06-08,0.096,239.19
2010-06-23,Lex,1.8701,2479,1.6808,Exp,2010-07-07,1.8896,1.458,10,0,7,2010-06-23,2010-07-01,0.2284,-469.3491
2010-07-19,Lex,1.7197,2601,1.732,PnL,2010-07-19,1.7458,1.6786,1,0,0,2010-07-19,2010-07-19,0.0385,31.9663
2010-08-02,Lex,1.9602,2461,1.9977,PnL,2010-08-02,2.0075,1.9366,1,0,0,2010-08-02,2010-08-02,0.0353,92.3613
2010-08-12,Lex,1.7317,3212,1.7829,PnL,2010-08-12,1.8,1.7298,1,0,0,2010-08-12,2010-08-12,0.039,164.5829
2010-08-16,Lex,1.7306,3336,1.7628,PnL,2010-08-16,1.779,1.7102,1,0,0,2010-08-16,2010-08-16,0.0387,107.2524
2010-08-25,Lex,1.6003,3905,1.6434,PnL,2010-08-25,1.6641,1.57,1,0,0,2010-08-25,2010-08-25,0.0565,168.1493
2010-08-26,Lex,1.6659,3786,1.6871,PnL,2010-08-27,1.6759,1.5966,2,0,0,2010-08-26,2010-08-26,0.0473,80.4146
2010-08-30,Lex,1.6747,3960,1.7594,PnL,2010-09-01,1.6893,1.5768,3,0,2,2010-08-30,2010-08-31,0.0666,335.2536
2010-10-20,Lex,2.2251,4098,2.2755,PnL,2010-10-20,2.3069,2.2192,1,0,0,2010-10-20,2010-10-20,0.038,206.4163
2010-10-28,Lex,2.3403,4970,2.3635,PnL,2010-11-02,2.3827,2.2713,4,3,0,2010-11-01,2010-10-28,0.0468,115.2543
2010-11-10,Lex,2.4904,4783,2.5206,PnL,2010-11-10,2.5248,2.4342,1,0,0,2010-11-10,2010-11-10,0.0359,144.2074
2010-11-15,Lex,2.4279,4493,2.3339,Exp,2010-11-29,2.4548,2.2487,10,0,2,2010-11-15,2010-11-16,0.084,-422.2521
2010-12-16,Lex,2.6447,3175,2.6746,PnL,2010-12-16,2.6806,2.6063,1,0,0,2010-12-16,2010-12-16,0.0277,95.0278
